"N","24"
"C:(1)/#4","6  0"
"C#:(1)/#4","7  1"
"D:(1)/#4","8  2"
"E:(1)/#4","10   4"
"Eb:(1)/#4","9  3"
"F:(1)/#4","11   5"
"F#:(1)/#4","0  6"
"G:(1)/#4","1  7"
"A:(1)/#4","3  9"
"Ab:(1)/#4","2  8"
"B:(1)/#4","5  11"
"Bb:(1)/#4","4  10"
"C:(1)/#5","8  0"
"C#:(1)/#5","9  1"
"D:(1)/#5","10   2"
"E:(1)/#5","0  4"
"Eb:(1)/#5","11   3"
"F:(1)/#5","1  5"
"F#:(1)/#5","2  6"
"G:(1)/#5","3  7"
"A:(1)/#5","5  9"
"Ab:(1)/#5","4  8"
"B:(1)/#5","7  11"
"Bb:(1)/#5","6  10"
"C:(1)/#6","10   0"
"C#:(1)/#6","11   1"
"D:(1)/#6","0  2"
"E:(1)/#6","2  4"
"Eb:(1)/#6","1  3"
"F:(1)/#6","3  5"
"F#:(1)/#6","4  6"
"G:(1)/#6","5  7"
"A:(1)/#6","7  9"
"Ab:(1)/#6","6  8"
"B:(1)/#6","9  11"
"Bb:(1)/#6","8  10"
"C:(1)/#7","0  0"
"C#:(1)/#7","1  1"
"D:(1)/#7","2  2"
"E:(1)/#7","4  4"
"Eb:(1)/#7","3  3"
"F:(1)/#7","5  5"
"F#:(1)/#7","6  6"
"G:(1)/#7","7  7"
"A:(1)/#7","9  9"
"Ab:(1)/#7","8  8"
"B:(1)/#7","11  11"
"Bb:(1)/#7","10  10"
"C:(1)/#9","3  0"
"C#:(1)/#9","4  1"
"D:(1)/#9","5  2"
"E:(1)/#9","7  4"
"Eb:(1)/#9","6  3"
"F:(1)/#9","8  5"
"F#:(1)/#9","9  6"
"G:(1)/#9","10   7"
"A:(1)/#9","0  9"
"Ab:(1)/#9","11   8"
"B:(1)/#9","2  11"
"Bb:(1)/#9","1  10"
"C#:(1)","1"
"F#:(1)","6"
"C#:(1)/1","1  1"
"F#:(1)/1","6  6"
"C#:(1)/2","3  1"
"F#:(1)/2","8  6"
"C#:(1)/3","5  1"
"F#:(1)/3","10   6"
"C#:(1)/4","6  1"
"F#:(1)/4","11   6"
"C#:(1)/5","8  1"
"F#:(1)/5","1  6"
"C#:(1)/6","10   1"
"F#:(1)/6","3  6"
"C#:(1)/7","0  1"
"F#:(1)/7","5  6"
"C#:(1)/9","3  1"
"F#:(1)/9","8  6"
"C#:(1)/b1","0  1"
"F#:(1)/b1","5  6"
"C#:(1)/b2","2  1"
"F#:(1)/b2","7  6"
"C#:(1)/b3","4  1"
"F#:(1)/b3","9  6"
"C#:(1)/b4","5  1"
"F#:(1)/b4","10   6"
"C#:(1)/b5","7  1"
"F#:(1)/b5","0  6"
"C#:(1)/b6","9  1"
"F#:(1)/b6","2  6"
"C#:(1)/b7","11   1"
"F#:(1)/b7","4  6"
"C#:(1)/b9","2  1"
"F#:(1)/b9","7  6"
"C#:(1)/#1","2  1"
"F#:(1)/#1","7  6"
"C#:(1)/#2","4  1"
"F#:(1)/#2","9  6"
"C#:(1)/#3","6  1"
"F#:(1)/#3","11   6"
